Регионы,ВРП (в млн. рублей),Расходы консолидированных бюджетов субъектов (млн. руб),Уровень занятости в % от общего населения субъекта,Инвестиции в основной капитал (млн. руб),Среднедушевые денежные доходы,Экспорт в страны дальнего зарубежья (в млн. долларах США),Экспорт в страны СНГ (в млн. долларах США),Доля добычи полезных ископаемых в добавленной стоимости в %,Численность населения (в тыс. чел.),Площадь территории (в тыс. км^2),Плотность населения на км^2
Белгородская область,"1 354 810,5","151 300,7","61,0",168 772,35 612,"3 970,80","1 081,70","31,60","1 536,50","27,10","56,70"
Брянская область,"468 666,2","90 413,4","56,8",83 718,31 608,"145,50","269,30","0,00","1 164,60","34,90","33,37"
Владимирская область,"736 830,4","98 402,5","59,3",102 361,28 523,"509,10","628,60","0,40","1 342,30","29,10","46,13"
Воронежская область,"1 254 722,2","168 901,9","57,6",285 010,35 198,"802,00","706,90","0,40","2 302,60","52,20","44,11"
Ивановская область,"300 626,3","65 848,1","59,7",45 269,28 680,"160,70","111,90","0,20","924,10","21,40","43,18"
Калужская область,"664 150,0","98 963,7","62,0",132 592,35 076,"929,60","583,70","0,30","1 073,30","29,80","36,02"
Костромская область,"241 529,6","51 269,0","56,4",45 063,28 560,"5 327,80","153,10","0,20","578,00","60,20","9,60"
Курская область,"683 802,0","101 419,4","58,6",193 790,32 715,"1 384,70","246,60","20,00","1 078,20","30,00","35,94"
Липецкая область,"843 981,9","91 375,1","60,0",179 400,35 231,"6 383,90","440,20","0,40","1 138,10","24,00","47,42"
Московская область,"6 832 298,4","906 496,4","62,8",1 182 602,53 989,"5 958,10","5 455,30","0,20","8 542,30","44,30","192,83"
Орловская область,"336 687,8","52 224,3","53,8",58 815,29 846,"281,00","137,80","0,10","710,00","24,70","28,74"
Рязанская область,"531 962,1","89 814,5","53,1",75 730,30 496,"1 305,10","255,90","0,10","1 098,60","39,60","27,74"
Смоленская область,"421 672,8","64 036,8","57,2",71 256,30 731,"756,60","731,70","0,30","886,90","49,80","17,81"
Тамбовская область,"429 268,0","67 041,6","55,8",79 397,30 241,"245,70","180,70","0,10","979,10","34,50","28,38"
Тверская область,"555 097,9","104 543,4","58,5",87 064,30 675,"394,00","211,80","0,10","1 226,00","84,20","14,56"
Тульская область,"867 817,0","126 680,2","60,7",182 405,32 252,"3 253,40","699,80","0,50","1 496,70","25,70","58,24"
Ярославская область,"690 253,2","104 980,0","59,2",111 393,33 131,"819,10","315,30","0,20","1 205,70","36,20","33,31"
г. Москва,"24 471 160,4","3 458 708,9","66,2",4 868 342,88 860,"186 307,60","20 977,70","0,00","13 015,10","2,60","5 005,81"
Республика Карелия,"447 146,7","77 484,4","54,2",78 687,35 373,"1 176,60","55,70","30,70","532,40","180,50","2,95"
Республика Коми,"857 013,0","115 897,9","57,2",127 665,39 118,"1 130,00","151,40","48,00","734,40","416,80","1,76"
Ненецкий автономный округ,"406 838,0","28 620,4","63,8",74 830,86 431,"1 119,90","0,00","86,00","41,40","176,80","0,23"
Архангельская область  без автономного округа,"648 582,9","138 354,5","54,8",105 813,37 812,"1 942,00","145,40","4,80","974,60","413,10","2,36"
Вологодская область,"1 009 917,7","125 197,1","56,0",206 987,31 858,"6 421,50","744,20","0,00","1 138,40","144,50","7,88"
Калининградская область,"675 000,6","135 803,0","61,0",102 300,32 033,"2 020,40","364,40","2,60","1 031,00","15,10","68,28"
Ленинградская область,"1 481 187,8","212 094,1","60,0",431 976,36 855,"7 540,10","829,70","0,60","2 006,00","83,90","23,91"
Мурманская область,"1 083 779,4","123 731,4","63,7",261 433,51 183,"4 666,50","2,30","12,00","665,20","144,90","4,59"
Новгородская область,"342 069,5","55 261,9","57,7",47 029,29 300,"2 415,10","134,90","0,20","581,60","54,50","10,67"
Псковская область,"219 948,6","54 559,1","56,8",47 610,29 354,"139,10","117,20","0,50","596,90","55,40","10,77"
г. Санкт-Петербург,"9 440 411,1","799 694,8","66,5",896 716,57 928,"26 210,20","3 699,80","0,20","5 607,90","1,40","4 005,64"
Республика Адыгея,"170 792,8","38 229,1","49,1",35 878,34 901,"24,70","13,40","1,20","498,30","7,80","63,88"
Республика Калмыкия,"100 007,8","24 803,4","56,9",17 842,21 319,"0,50","0,50","0,40","266,40","74,70","3,57"
Республика Крым,"586 497,5","223 477,2","55,4",164 060,26 381,"5,90","30,70","2,40","1 931,10","26,10","73,99"
Краснодарский край,"3 200 607,1","413 257,3","57,4",558 590,43 255,"6 953,20","613,60","0,40","5 832,00","75,50","77,25"
Астраханская область,"657 015,6","73 148,2","57,5",115 484,26 833,"792,90","229,90","49,10","957,80","49,00","19,55"
Волгоградская область,"1 051 515,1","166 620,5","56,9",186 116,27 680,"2 315,20","973,80","3,90","2 492,80","112,90","22,08"
Ростовская область,"2 017 007,3","291 880,2","58,1",393 753,35 050,"9 357,30","2 211,40","1,30","4 192,30","101,00","41,51"
г. Севастополь,"168 573,5","66 062,3","59,1",40 546,33 048,"1,20","4,30","0,60","547,50","0,90","608,33"
Республика Дагестан,"814 427,4","181 059,9","49,2",257 188,30 260,"30,00","38,10","0,40","3 186,90","50,30","63,36"
Республика Ингушетия,"77 237,1","39 551,9","49,3",21 572,18 139,"4,70","1,50","1,50","511,30","3,10","164,94"
Кабардино-Балкарская Республика,"199 326,3","55 647,0","57,7",48 579,25 929,"3,70","17,80","0,10","904,30","12,50","72,34"
Карачаево-Черкесская Республика,"109 390,0","37 923,6","49,4",32 341,20 470,"4,30","11,80","1,90","469,10","14,30","32,80"
Республика Северная Осетия – Алания,"202 601,8","50 186,4","48,6",35 786,25 885,"47,50","75,30","0,20","685,40","8,00","85,68"
Чеченская Республика,"268 068,5","140 213,0","55,2",83 282,26 397,"21,60","1,50","0,90","1 514,60","16,20","93,49"
Ставропольский край,"1 024 560,2","171 309,5","56,5",254 164,26 186,"1 082,60","428,30","2,10","2 902,50","66,20","43,84"
Республика Башкортостан,"2 000 037,9","299 013,2","56,2",422 572,32 621,"2 898,50","818,20","4,30","4 091,60","142,90","28,63"
Республика Марий Эл,"221 991,0","51 380,4","56,6",38 256,23 184,"235,40","89,20","0,20","676,40","23,40","28,91"
Республика Мордовия,"298 023,1","62 160,9","59,6",50 775,22 906,"181,00","194,80","0,00","781,40","26,10","29,94"
Республика Татарстан,"3 454 700,0","398 093,2","62,3",689 232,39 679,"10 302,90","1 770,00","29,60","4 000,10","67,80","59,00"
Удмуртская Республика,"841 936,2","121 804,3","60,0",125 354,27 700,"362,30","237,90","29,60","1 448,90","42,10","34,42"
Чувашская Республика,"392 957,9","85 185,2","58,2",63 872,23 651,"94,50","207,10","0,00","1 183,90","18,30","64,69"
Пермский край,"1 740 525,3","221 755,7","56,5",307 973,32 750,"7 133,50","815,90","26,50","2 525,10","160,20","15,76"
Кировская область,"481 407,0","91 051,0","57,4",77 177,26 649,"1 114,70","143,60","0,20","1 149,20","120,40","9,54"
Нижегородская область,"1 888 121,4","283 670,3","62,0",384 491,37 525,"4 933,60","1 698,70","0,10","3 108,90","76,60","40,59"
Оренбургская область,"1 394 280,3","144 285,2","56,9",201 913,26 514,"1 230,60","1 398,00","44,50","1 855,80","123,70","15,00"
Пензенская область,"537 290,0","83 918,1","57,3",97 902,26 416,"172,30","185,70","0,40","1 261,10","43,40","29,06"
Самарская область,"2 122 537,2","278 378,5","61,2",386 809,32 664,"3 597,30","1 584,40","20,60","3 164,40","53,60","59,04"
Саратовская область,"1 005 800,9","164 985,9","54,7",173 755,26 228,"1 709,60","553,60","4,40","2 431,00","101,20","24,02"
Ульяновская область,"498 806,3","99 841,0","56,3",98 322,26 849,"431,80","153,90","3,20","1 191,70","37,20","32,03"
Курганская область,"268 494,7","67 145,7","49,8",47 180,23 746,"61,30","81,00","0,80","772,30","71,50","10,80"
Свердловская область,"3 038 442,8","410 687,6","58,0",420 243,40 275,"7 616,10","1 671,20","3,00","4 263,70","194,20","21,96"
Ханты-Мансийский автономный округ – Югра,"5 651 897,2","339 056,9","68,2",1 056 856,57 012,"17 115,00","369,20","75,00","1 713,80","534,80","3,20"
Ямало-Ненецкий автономный округ,"4 161 529,6","264 700,6","73,6",1 147 020,96 814,"5 721,10","1,20","73,90","511,20","769,30","0,66"
Тюменская область без автономных округов,"1 536 012,4","249 909,5","57,3",235 570,33 984,"1 472,70","148,40","17,10","1 602,70","160,10","10,01"
Челябинская область,"2 042 593,4","272 237,1","62,4",326 631,29 498,"4 539,40","2 813,60","6,50","3 421,60","88,60","38,62"
Республика Алтай,"71 336,2","31 470,3","52,8",14 704,23 798,"23,60","52,20","0,90","210,80","92,90","2,27"
Республика Тыва,"88 770,7","53 853,1","48,8",14 612,20 651,"49,50","90,70","14,30","336,20","168,60","1,99"
Республика Хакасия,"307 516,9","51 992,4","56,3",49 918,26 068,"2 617,50","64,10","17,10","533,00","61,60","8,65"
Алтайский край,"845 429,6","164 506,4","55,2",124 876,26 010,"478,10","670,10","0,80","2 155,00","168,00","12,83"
Красноярский край,"3 064 831,6","367 958,7","60,7",592 071,36 090,"6 862,10","302,60","22,70","2 856,40","2 366,80","1,21"
Иркутская область,"1 924 360,7","273 096,8","57,1",516 289,30 347,"8 180,60","204,90","31,20","2 363,40","774,80","3,05"
Кемеровская область,"1 807 387,1","243 445,8","55,1",340 022,28 048,"13 307,60","2 019,20","39,70","2 592,00","95,70","27,08"
Новосибирская область,"1 617 011,1","263 362,5","58,8",331 105,35 277,"2 842,90","994,70","4,50","2 797,50","177,80","15,73"
Омская область,"854 132,5","149 864,6","59,8",191 473,29 976,"533,70","463,10","0,30","1 851,50","141,10","13,12"
Томская область,"706 391,5","104 259,5","57,6",107 764,31 054,"146,40","279,60","26,80","1 062,70","314,40","3,38"
Республика Бурятия,"342 184,8","106 272,9","51,7",72 843,28 314,"1 321,00","8,50","7,80","978,00","351,30","2,78"
Республика Саха (Якутия),"1 615 527,1","319 247,2","62,4",414 797,50 369,"5 541,70","8,80","59,00","997,80","3 083,50","0,32"
Забайкальский край,"487 422,9","115 032,8","57,0",163 401,29 833,"1 403,90","54,30","30,10","1 000,50","431,90","2,32"
Камчатский край,"337 504,9","114 653,0","68,0",78 471,60 791,"976,20","0,90","5,30","292,60","464,30","0,63"
Приморский край,"1 308 884,1","197 526,8","61,0",253 356,40 843,"3 395,60","32,60","1,00","1 841,90","164,70","11,18"
Хабаровский край,"987 186,5","159 371,7","64,0",246 366,44 101,"2 155,00","383,90","8,40","1 292,80","787,60","1,64"
Амурская область,"530 947,8","123 770,7","59,6",412 201,39 626,"621,80","5,40","14,50","763,60","361,90","2,11"
Магаданская область,"314 707,6","57 065,5","71,6",75 193,80 979,"281,00","270,80","55,00","135,90","462,50","0,29"
Сахалинская область,"1 234 355,3","185 744,5","65,6",241 354,63 854,"11 469,10","0,40","60,00","466,00","87,10","5,35"
Еврейская автономная область,"78 701,6","21 832,0","57,1",16 827,30 297,"394,60","0,80","23,70","149,60","36,30","4,12"
Чукотский автономный округ,"136 152,4","55 948,7","76,7",50 753,99 912,"275,40","6,20","41,60","47,90","721,50","0,07"