Регионы;Индекс промышленного производства;Степень износа основных фондов в %;Объём государственного долга субъекта РФ (млн. руб.);"Плотность железнодорожных путей 
";Плотность автомобильных дорог;Доля городского населения;Использование фиксированного интернета организациями;Грузооборот млн т-км;Количество зарегистрированных юридических лиц
Белгородская область;104;54.5;25458.38;258;743;65.3;92.9;4099;27528
Брянская область;112;51.9;7740.24;298;328;69.5;84.8;1386;15554
Владимирская область;109;54.6;3756.88;316;365;77.6;85.5;1504;26076
Воронежская область;106;44.2;16790.94;229;396;68.5;84.2;5564;43802
Ивановская область;109;55;9180.74;161;341;82;83.8;767;24866
Калужская область;108;50.1;26868.96;288;348;75;80.7;1052;22082
Костромская область;113;57.7;17734.98;107;139;73.8;75.8;802;13235
Курская область;108;53.6;8672.92;352;383;68.5;79.6;1598;18818
Липецкая область;106;56;10907.74;315;559;63;87.3;188;18884
Московская область;122;45.6;265748.11;490;811;78.5;73.8;13142;188323
Орловская область;110;53.6;20033.39;241;397;66.7;81;1583;12097
Рязанская область;106;64.6;22296.66;238;280;71.4;83.9;1045;23381
Смоленская область;106;59.9;25234.78;225;330;72.6;83.4;8208;24211
Тамбовская область;104;62.9;18582.92;214;295;60.2;87.5;1465;14114
Тверская область;104;58.4;14803.41;215;256;76.3;79.9;2781;27895
Тульская область;110;46.7;17863.04;362;417;73.3;74.6;2109;25721
Ярославская область;111;58.7;41849.62;180;282;81.1;82.1;1791;32849
г. Москва;128;35;145433.06;1 928;2623;100;69.1;8388;569398
Республика Карелия;101;55.1;19847.37;123;47;79.4;84.1;779;17372
Республика Коми;102;56.4;34403.29;41;17;77.5;73.5;1503;14143
Ненецкий автономный округ;102;57.5;800.00;–;1.700;74.2;75.2;58;951
Архангельская область без автономного округа;101;54.4;42626.75;30;30;77.6;78.4;261;17772
Вологодская область;101;56.7;14840.07;53;117;72.5;81.4;3092;33554
Калининградская область;104;40.3;22323.02;442;526;76.8;74.7;168;34722
Ленинградская область;108;47.7;2564.33;304;218;67.1;80.6;229;32041
Мурманская область;106;39.8;12441.54;60;24;93.1;77.8;387;13779
Новгородская область;107;55.7;17084.96;210;204;73;82.4;1832;11445
Псковская область;106;52.6;21147.73;197;311;70.9;78.8;1323;11787
г. Санкт-Петербург;106;43.1;85006.10;3 082;2522;100;76.8;14074;226342
Республика Адыгея;113;50.8;2974.72;205;577;49.5;76.1;777;6059
Республика Калмыкия;129;38.3;7773.76;22;51;46.8;75.1;50;3697
Республика Крым;111;55.6;3249.43;255;501;50.4;74.1;730;31418
Краснодарский край;108;45.2;99531.84;297;485;57;78.9;1032;107721
Астраханская область;94;59.3;14828.69;128;84;64.3;79.5;344;12916
Волгоградская область;98;55.5;57096.77;143;151;77.5;76.6;2572;33715
Ростовская область;110;47.1;27331.19;188;269;67.9;75.5;6873;70966
г. Севастополь;115;33.4;0.00;…;1190;92.3;69.1;44;11225
Республика Дагестан;111;56.9;8342.14;101;443;45.2;67.1;489;29141
Республика Ингушетия;105;47.7;1913.64;108;883;54.8;79.5;63;5326
Кабардино-Балкарская Республика;105;46.6;6970.61;107;646;51.9;81.9;33;9943
Карачаево-Черкесская Республика;110;42.1;5140.88;35;353;41.3;75.5;189;5690
Республика Северная Осетия – Алания;114;42.7;6882.33;180;719;63.2;80.5;97;8814
Чеченская Республика;103;56.8;3594.95;195;649;38.1;67.8;668;9511
Ставропольский край;114;54.7;28897.57;139;277;60.6;88;1848;34427
Республика Башкортостан;104;59.4;26617.24;102;320;62.1;77.7;3656;73496
Республика Марий Эл;100;71.1;10500.00;65;227;68.5;82.1;591;11085
Республика Мордовия;111;66.9;49803.43;208;304;63.4;71.4;3346;12776
Республика Татарстан;109;53.5;96623.60;129;466;76.8;80.2;13994;103124
Удмуртская Республика;109;68.7;63052.33;185;251;65.7;79.8;2332;32729
Чувашская Республика;99;67.7;7967.84;230;452;64;75.9;1056;20124
Пермский край;104;64.5;14159.40;98;142;75.7;79.6;3755;52960
Кировская область;115;55;21541.16;91;115;77.9;76;2206;27452
Нижегородская область;114;58.7;104642.19;158;305;79.9;84.8;5383;73419
Оренбургская область;100;65.7;17627.96;118;167;59.7;86.5;2271;29069
Пензенская область;116;53.9;19252.72;191;292;68.7;75.6;2018;21649
Самарская область;104;60.4;42173.64;256;346;79.6;75.8;3393;84942
Саратовская область;107;60.2;55004.23;226;175;76.6;74.6;2381;40112
Ульяновская область;112;58.1;41126.44;187;255;76.8;75.9;1959;22591
Курганская область;105;62;16154.79;104;135;64;78.8;824;11781
Свердловская область;102;64.5;99457.75;181;131;85.8;83.8;11807;116235
Ханты-Мансийский автономный округ – Югра;102;73.8;7300.00;20;12;92.1;73.4;4493;29424
Ямало-Ненецкий автономный округ;109;60;3914.07;6;3.600;84.7;74.7;1067;8252
Тюменская область без автономных округов;104;48.9;1001.90;55;91;67.6;75.9;2112;37004
Челябинская область;106;52.9;24329.79;203;240;82.6;82.7;4631;72961
Республика Алтай;101;37;1721.10;-;50;31;83.7;111;4651
Республика Тыва;106;48.8;2467.34;-;22;54.8;70.3;99;3527
Республика Хакасия;107;46.7;23275.78;108;94;68.5;78.4;542;7809
Алтайский край;102;54.8;1776.27;93;202;58.2;82.1;2342;42104
Красноярский край;98;46.4;63297.20;9;12;79.4;76.6;4285;60321
Иркутская область;101;51.5;14273.08;32;32;77.6;76.6;2456;51484
Кемеровская область;107;51.1;53687.48;175;180;86.5;81.7;990;35817
Новосибирская область;114;51.7;41968.85;85;116;79.7;80;5585;91978
Омская область;103;48.2;45822.55;52;101;73.5;81.4;138;35913
Томская область;106;68.7;48367.96;11;25;71.4;81.7;229;24604
Республика Бурятия;102;37.2;15879.96;35;27;59.2;69.3;633;19682
Республика Саха (Якутия);114;38.5;45552.15;3;4.100;67;80.7;1881;22319
Забайкальский край;109;37.6;27809.56;56;35;69.3;81.6;427;13057
Камчатский край;112;39.7;6586.68;–;4.700;77.9;84.5;39;9185
Приморский край;122;40.8;2774.52;95;93;78.5;77.9;1267;50845
Хабаровский край;110;42.1;51674.51;27;12;83.5;79.1;1285;32719
Амурская область;109;34.5;26985.97;81;35;68.2;79.4;609;13922
Магаданская область;106;40.5;12177.97;–;5.600;96.4;81.4;666;3778
Сахалинская область;89;65.3;5000.00;96;33;82.5;81.9;655;13441
Еврейская автономная область;97;44.4;4900.07;141;71;70.8;70.9;114;2365
Чукотский автономный округ;103.6;48.5;9682.71;–;1.300;68.8;83.5;16;1100
